,id,dianpin_id,region,shop_name,category,category_name,avg_price_raw,avg_price,dianpin_num,rate_taste,rate_env,rate_service,address,telephone,task_id,sub_type,is_finished,status_range
43,44,2444503,南方商城,苏浙汇,198,本帮菜,￥204/人,204,3431,8.2,8.6,7.7,"沪闵路7250号南方商城新楼友谊百货6楼(莲花路,西班牙名园,世纪苑,望族城)",None,,本帮菜,1,4
44,45,4987736,南方商城,丰收日,204,其他江浙菜,￥110/人,110,1650,8.2,8.1,7.7,None,-1,,其他江浙菜,1,4
45,46,68224073,七宝,匆匆那年创意餐厅,204,其他江浙菜,￥88/人,88,5,8.1,8.4,8.2,漕宝路3299号七宝宝龙城市广场S4b号楼4楼,None,,其他江浙菜,1,0
46,47,503201,好爱广场,宝燕壹号海鲜餐厅,204,其他江浙菜,￥181/人,181,1322,7.6,8,7.5,都市路3825弄好爱广场3号(近金都路),None,,其他江浙菜,1,4
47,48,21046513,老闵行,聚鑫阁,204,其他江浙菜,￥62/人,62,834,8.2,7.9,7.7,东川路811弄1号(交大对面),02154479319,,其他江浙菜,1,4
48,49,2042605,老闵行,聚鑫阁,204,其他江浙菜,￥73/人,73,944,8.2,7.5,7.6,None,-1,,其他江浙菜,1,4
49,50,501018,七宝,来天华酒楼,198,本帮菜,￥132/人,132,1969,7.5,7.8,7.4,七莘路3011号星钻城5楼(近漕宝路),02154869177,,本帮菜,1,4
50,51,4054474,南方商城,启东海鲜人家,204,其他江浙菜,￥169/人,169,368,8.5,6.4,7,古美路528号(近顾戴路),02151768812,,其他江浙菜,1,4
51,52,5127897,南方商城,三清轩民间瓦罐煨汤坊,204,其他江浙菜,￥63/人,63,882,8,7.6,8.1,古方路76号南方休闲广场3楼(近沪闵路),02160522016,,其他江浙菜,1,4
52,53,4669521,龙柏地区,颖尚生态餐厅,101,本帮江浙菜,￥216/人,216,859,7.8,9,8,虹秀路51号(虹泉路向西到底),02164801717,,本帮江浙菜,1,4
53,54,19123076,万源城/东兰路,小鲜土味,25474,农家菜,￥83/人,83,330,8.2,8.3,8.1,龙茗路990号2楼(近顾戴路),02154708770,,农家菜,1,4
54,55,1970137,浦江镇,老甲渔庄,198,本帮菜,￥158/人,158,162,8.3,7.3,7.4,鲁汇镇浦星公路鲁南路东方经济城北(近东晨西路),02164911849,,本帮菜,1,2
55,56,505326,莘庄,幸龙餐厅,198,本帮菜,￥103/人,103,,8.1,7.1,7.3,报春路781号(近水清路),02164143517,,本帮菜,1,
56,57,7995250,南方商城,万源小馆,198,本帮菜,￥100/人,100,,8.2,8,7.6,万源路550号(顾戴路口),None,,本帮菜,1,
57,58,8011441,虹桥镇,雍廷,205,本帮菜,￥185/人,185,836,8,8.3,8,虹梅路2975号2楼(近吴中路),02161271117,,粤菜馆,1,4
58,59,52605364,七宝,百年龙袍,101,本帮江浙菜,￥30/人,30,47,8.3,7.3,7.7,None,-1,,本帮江浙菜,1,0
59,60,2086291,七宝,旭龙鱼头王,204,其他江浙菜,￥90/人,90,1115,8.3,6.7,6.9,None,-1,,其他江浙菜,1,4
60,61,3453457,七宝,邻里厨房,198,本帮菜,￥102/人,102,427,8.3,7.7,7.3,中春路8888弄万科城市花园邻里中心192号(近新龙路),None,,本帮菜,1,4
61,62,4600282,浦江镇,好宴世家,198,本帮菜,￥83/人,83,1275,8.1,7.9,7.7,浦锦路377号(近南江燕路),02154311777,,本帮菜,1,4
62,63,2218618,老闵行,锦江都城闵行饭店,198,本帮菜,￥139/人,139,225,7.4,7.6,7.5,兰坪路202号(近江川路),02164308121,,本帮菜,1,3
63,64,21126751,莘庄,青春农庄,25474,农家菜,￥84/人,84,229,8.3,7.6,7.8,中春路4755弄98号(近莘松路或莘西路西园路口),None,,农家菜,1,3
64,65,21814522,老闵行,韩湘农家乐●马桥羊肉庄,204,其他江浙菜,￥80/人,80,131,8.3,7.6,7.5,江川路3805号(韩湘水博园旁边),02134629203,,其他江浙菜,1,2
65,66,45248736,七宝,老福醉蟹,203,本帮江浙菜,,-1,14,8.1,8.1,8.1,新龙路1111弄万科朗润园内,18717833393,,蟹宴,1,0
66,67,12599491,南方商城,顺水楼,204,其他江浙菜,￥88/人,88,2920,7.9,8,7.9,莲花国际广场3楼F24-F26,02164051817,,其他江浙菜,1,4
67,68,503632,虹桥镇,新南华大酒店,198,本帮菜,￥112/人,112,984,7.4,7.5,7.2,None,-1,,本帮菜,1,4
68,69,4551180,虹桥镇,厨官,198,本帮菜,￥402/人,402,,7.9,8.5,7.8,古北路1881号亚繁国际广场1楼(吴中路口),02134686877,,本帮菜,1,
69,70,16818435,浦江镇,渔水有约,204,其他江浙菜,￥73/人,73,1135,8,7.9,7.9,浦星公路陈行公路2688号(家乐福4楼),02180101577,,其他江浙菜,1,4
70,71,57233511,虹梅路,冶春,201,淮扬菜,￥70/人,70,183,7.8,8.5,7.6,吴中路699号,None,,淮扬菜,1,2
71,72,12591873,七宝,阿拉人家上海菜,101,本帮江浙菜,￥105/人,105,925,8.1,7.8,7.8,七莘路1120号(宝龙商场),None,,本帮江浙菜,1,4
72,73,24713339,万源城/东兰路,桐庐人家,204,其他江浙菜,￥84/人,84,438,8,7.3,7.5,None,-1,,其他江浙菜,1,4
73,74,2386882,颛桥,锦醇大酒店,198,本帮菜,￥126/人,126,293,7.6,7.8,7.6,颛卫路197号(颛兴路口),02133507777,,本帮菜,1,3
74,75,2781643,老闵行,聚鑫阁,204,其他江浙菜,￥79/人,79,446,7.9,7.5,7.5,江川路301弄8号(近红园路),02154730557,,其他江浙菜,1,4
75,76,56943079,闵行区,农家乐,25474,农家菜,￥63/人,63,,7.8,7.8,7.4,莘谭路迪亚天天旁,None,,农家菜,1,
76,77,500242,七宝,和记小菜,198,本帮菜,￥104/人,104,,7.6,7.5,7,漕宝路3457号汇宝广场5楼(漕宝路吴宝路),None,,本帮菜,1,
77,78,2694673,龙柏地区,曹胖子龙虾馆,101,本帮江浙菜,￥120/人,120,2056,8.1,6.6,7,黄桦路270号(近红松路),02164493955,,本帮江浙菜,1,4
78,79,5592501,浦江镇,陶家湾休闲农庄,25474,农家菜,￥156/人,156,490,7.6,8.8,7.3,浦江镇永南路2018号(近浦星公路),02134668878,,农家菜,1,4
79,80,15115845,七宝,丰收日,204,其他江浙菜,￥142/人,142,,7.9,8.5,7.8,星站路169号2楼(假日酒店2楼，近七莘路),None,,其他江浙菜,1,
80,81,16724769,虹桥镇,鸿镇经典上海菜,101,本帮江浙菜,￥84/人,84,425,7.9,7.9,7.5,None,-1,,本帮江浙菜,1,4
81,82,5502927,颛桥,和记小菜,198,本帮菜,￥88/人,88,1098,7.9,8.3,7.5,新源路3088号,None,,本帮菜,1,4
82,83,68946277,七宝,南京大排档,101,本帮江浙菜,￥59/人,59,27,7.9,7.9,7.8,漕宝路宝龙广场4楼,02134202921,,本帮江浙菜,1,0
83,84,503526,南方商城,锦江大厨,198,本帮菜,￥76/人,76,466,7.6,7.6,7.9,虹梅路227号(近沪闵路),02154217878,,本帮菜,1,4
84,85,27300319,华漕,醉香有余,204,其他江浙菜,￥83/人,83,206,8,7.5,7.6,None,-1,,其他江浙菜,1,3
85,86,5439372,莘庄,外婆家,199,杭帮菜,￥61/人,61,,7.7,7.8,7.5,都市路5001号仲盛世界商城4楼(近莘庄地铁南广场),02154326071,,杭帮菜,1,
86,87,9963676,莘庄,上海阿婆点心店,198,本帮菜,￥58/人,58,2311,7.7,7.6,7.3,莘凌路16号(近莘松路),02164985977,,本帮菜,1,4
87,88,6422754,南方商城,渔嘉码头,204,其他江浙菜,￥71/人,71,1075,7.7,7.5,7.6,沪闵路7866弄莲花国际广场B1楼东新宿食街内,02134688857,,其他江浙菜,1,4
88,89,4176105,万源城/东兰路,农屋里香,198,本帮菜,￥74/人,74,1936,7.7,7.6,7.3,平吉路8号(近虹梅路),None,,本帮菜,1,4
89,90,1884085,龙柏地区,龙柏369农家菜,25474,农家菜,￥94/人,94,1096,7.4,6.5,6.9,龙柏新村黄桦路260号(红松路黄桦路),02164491183,,农家菜,1,4
90,91,17173221,七宝,皇记108餐厅,204,其他江浙菜,￥47/人,47,387,7.8,7.7,7.8,None,-1,,其他江浙菜,1,4
91,92,32551984,万源城/东兰路,楚味农庄,25474,农家菜,￥89/人,89,361,7.7,8,7.9,None,02164026617                     ,,农家菜,1,4
92,93,4707858,南方商城,龙汇酒家,204,其他江浙菜,￥85/人,85,534,8,7.8,7.6,沪闵路8093号(近虹梅路),None,,其他江浙菜,1,4
93,94,17193402,老闵行,菜羹香,198,本帮菜,￥75/人,75,359,7.7,7.4,7.6,沪闵路130号滨江生活广场3楼(华坪路),02164301717,,本帮菜,1,4
94,95,22431708,莘庄,得天酒家,101,本帮江浙菜,￥59/人,59,98,7.6,7.3,7.6,水清路秀文路335号,02154771877,,本帮江浙菜,1,1
95,96,5163534,华漕,翠云馆,198,本帮菜,￥258/人,258,45,7.4,7.9,7.4,纪友路298号(近纪王镇),02152967588,,本帮菜,1,0
96,97,44372144,莘庄,“景”全日餐厅,101,本帮江浙菜,￥98/人,98,,7.8,7.9,7.9,元江路6600号绿城玫瑰园度假酒店,02133586666,,本帮江浙菜,1,
97,98,66038252,闵行区,阿乔豆腐干,198,本帮菜,,-1,,7.7,7.2,7.9,马桥镇富岩路289弄(闵马菜市场103号、112号),15800561685,,本帮菜,1,
98,99,68207986,莘庄,美博餐厅,198,本帮菜,￥20/人,20,5,7.8,7.8,7.8,黎明路88号2楼,02154888223,,本帮菜,1,0
99,100,67066833,闵行区,请请请新上海菜,198,本帮菜,￥110/人,110,359,7.5,7.2,7,虹梅路3338弄老外街3号,02164659277,,本帮菜,1,4
100,101,67742189,虹桥镇,金汇伙食团,204,其他江浙菜,,-1,5,7.5,7.1,7.2,金汇路398号1F,02133277744,,其他江浙菜,1,0
101,102,502767,南方商城,宝燕壹号海鲜餐厅,204,其他江浙菜,￥127/人,127,,7.5,7.6,7.2,罗秀路1825号(近一号线莲花路站),None,,其他江浙菜,1,
102,103,32631141,老闵行,丰收日,200,宁波菜,￥116/人,116,459,7.7,8.4,7.4,鹤庆路900号碧江广场2号楼4楼,None,,宁波菜,1,4
103,104,66464446,虹梅路,香乡村大龙虾,219,本帮江浙菜,￥58/人,58,23,7.8,7.4,7.4,东兰路258号,02133675037,,小龙虾,1,0
104,105,24911489,浦江镇,新悦楼,198,本帮菜,￥84/人,84,108,7.7,8,7.8,None,-1,,本帮菜,1,2
105,106,22183206,好爱广场,海燕精菜馆,198,本帮菜,￥267/人,267,13,7.8,7.8,7.8,都市路,02164581777,,本帮菜,1,0
106,107,3579058,万源城/东兰路,徽味楼土菜,25474,农家菜,￥50/人,50,248,7.7,7.2,7.2,虹莘路3065号苏宁电器2楼(近漕宝路),None,,农家菜,1,3
107,108,2093833,虹梅路,凌泷阁蟹宴,203,本帮江浙菜,￥504/人,504,355,7.3,7.6,7.3,虹许路951号2楼(延安西路口),02132070077,,蟹宴,1,4
108,109,4299625,虹桥镇,李家花园,204,其他江浙菜,￥121/人,121,330,7.5,7.6,7.5,宜山路1768号(近莲花路),02151197777,,其他江浙菜,1,4
109,110,66602671,闵行区,秋·饭堂,198,本帮菜,￥100/人,100,6,7.7,7.7,7.7,沈杜公路2079号(苏召路口),02138811479,,本帮菜,1,0
110,111,18087584,春申地区,沈大成本帮菜,198,本帮菜,￥44/人,44,75,7.6,7.4,7.7,莲花南路1188弄38号(春城小区内),02154338673,,本帮菜,1,1
111,112,58498570,虹梅路,乡村烤鸭店,25474,农家菜,,-1,6,7.7,7.7,7.7,虹梅路245号(平阳路口(锦江乐园),02162215187,,农家菜,1,0
112,113,54025594,闵行区,书香世家,101,本帮江浙菜,￥95/人,95,,0,0,0,吴中路1389号(近金汇路),02151182626,,本帮江浙菜,1,
113,114,13715095,春申地区,阳澄湖大闸蟹,203,本帮江浙菜,,-1,,0,0,0,春申路820号(近春申花园),None,,蟹宴,1,
114,115,18367529,交大闵行校区,景鸿大酒店,204,其他江浙菜,,-1,,0,0,0,沧源路638号(农工商对面),None,,其他江浙菜,1,
115,116,44113369,闵行区,阳澄湖大闸蟹,203,本帮江浙菜,,-1,,0,0,0,东川路2092号,4001111517,,蟹宴,1,
116,117,17694324,莘庄,重庆鸡公煲,25474,农家菜,￥38/人,38,,0,0,0,沁春路1332号,13917282026,,农家菜,1,
117,118,22267063,闵行区,阳澄湖大闸蟹,203,本帮江浙菜,,-1,,0,0,0,星中路1111弄10号101室,15121111434,,蟹宴,1,
118,119,57844997,闵行区,优味嘉,204,其他江浙菜,￥40/人,40,,0,0,0,漕宝路1495号,02154306009,,其他江浙菜,1,
119,120,23934629,闵行区,鹫山人家农家菜,25474,农家菜,￥36/人,36,,0,0,0,纪鹤路833号,15221357210,,农家菜,1,
120,121,19436766,老闵行,米池小厨,204,其他江浙菜,,-1,,0,0,0,吴泾镇广南路748号,13524760654,,其他江浙菜,1,
121,122,8847950,莘庄,上海小南国,198,本帮菜,￥210/人,210,,7.7,8.2,7.5,都市路5001号仲盛世界商场5楼(近莘庄地铁南广场),4008209777,,本帮菜,1,
122,123,65970059,闵行区,南小馆,198,本帮菜,￥88/人,88,315,7.6,8.7,8,申长路888弄虹桥天地广场3号楼B1-02商铺,02154283088,,本帮菜,1,4
123,124,4086133,南方商城,宝燕壹号海鲜餐厅,251,其他江浙菜,￥154/人,154,845,7.6,8.1,7.4,古美路949号(古龙路口),02164805777,,海鲜,1,4
124,125,2915215,七宝,越由大酒店,204,其他江浙菜,￥191/人,191,554,7.6,7.9,7.4,七莘路1886号(华友路口),02134632577,,其他江浙菜,1,4
125,126,1889401,虹桥镇,丰收日,200,宁波菜,￥138/人,138,688,7.5,7.5,7.3,None,-1,,宁波菜,1,4
126,127,21747725,莘庄,八鲜楼,198,本帮菜,￥91/人,91,304,7.7,7.6,7.6,None,-1,,本帮菜,1,4
127,128,1954402,好爱广场,好宴世家,198,本帮菜,￥64/人,64,404,7.6,7.1,7.2,银都路3177号(近都市路),02164583288,,本帮菜,1,4
128,129,23024892,莘庄,品汇馆,198,本帮菜,￥59/人,59,80,7.7,7.8,7.7,报春路400号2楼,02154135855,,本帮菜,1,1
129,130,58585325,闵行区,华东师范大学教师之家,204,其他江浙菜,￥67/人,67,17,7.4,7.7,7.4,虹梅南路5858号(紫龙路口),02133503777,,其他江浙菜,1,0
130,131,21401539,南方商城,淡然文化商务会所,198,本帮菜,￥287/人,287,17,7.6,7.8,7.6,平阳路280号(近古美路),None,,本帮菜,1,0
131,132,3004873,老闵行,淮河两岸农家菜,25474,农家菜,￥49/人,49,43,7.6,7.4,7.4,碧江路红旗四街坊门口(近凤庆路，近景谷路),02164628098,,农家菜,1,0
132,133,19706481,闵行区,上海侨嘉葡萄园老灶头餐厅,25474,农家菜,,-1,10,7.7,7.5,7.5,浦江镇先新路39号(上海侨嘉葡萄园内),02164917771,,农家菜,1,0
133,134,57650225,闵行区,东北农家菜,25474,农家菜,￥38/人,38,11,7.6,7.7,7.7,沈杜公路地铁站旁,None,,农家菜,1,0
134,135,41192694,闵行区,皖南小菜,198,本帮菜,￥51/人,51,8,7.7,7.7,7.7,None,-1,,本帮菜,1,0
135,136,27013297,七宝,蟹世界阳澄湖大闸蟹,203,本帮江浙菜,,-1,4,7.7,7.7,7.7,吴中路2727弄22号401室(近七宝),13917541417,,蟹宴,1,0
136,137,22731337,七宝,爱爱酒楼,25474,农家菜,￥53/人,53,12,7.5,7.2,7.3,None,02134170896                     ,,农家菜,1,0
137,138,1968373,莘庄,海宁煲,198,本帮菜,￥26/人,26,11,7.4,7,7,都市路(都市路富都路),None,,本帮菜,1,0
138,139,57369085,闵行区,四凉八热,25474,农家菜,,-1,3,7.7,7.3,7.7,中国上海市上海市闵行区金都路1号,13124887494,,农家菜,1,0
139,140,68914428,虹梅路,原生态农家菜,25474,农家菜,,-1,3,7.7,7.7,7.7,田林路400号附近,None,,农家菜,1,0
140,141,24748800,老闵行,兰坪热气羊肉店,101,本帮江浙菜,,-1,3,7.7,7.7,7.7,兰坪路兰坪市场正门对面,18801610787,,本帮江浙菜,1,0
141,142,67409583,闵行区,大别山农家菜,25474,农家菜,,-1,1,7.7,7.7,7.7,None,-1,,农家菜,1,0
142,143,66632471,闵行区,沪碟精菜坊,198,本帮菜,,-1,5,7.5,7.6,7.6,吴中路1068号2楼,None,,本帮菜,1,0
143,144,2825821,莘庄,精典壹号,204,其他江浙菜,￥68/人,68,873,7.5,7.3,7.4,None,-1,,其他江浙菜,1,4
144,145,5164713,莘庄龙之梦,丰收日,204,其他江浙菜,￥122/人,122,1595,7.6,7.7,7.1,None,-1,,其他江浙菜,1,4
145,146,4213540,莘庄,上海申阿婆,198,本帮菜,￥64/人,64,743,7.7,7.7,7.1,申北路556号(近中春路),02154428979,,本帮菜,1,4
146,147,20685480,老闵行,渔嘟嘟,204,其他江浙菜,￥66/人,66,821,7.6,7.7,7.3,鹤庆路900号碧江生活广场2号楼2楼(碧江生活广场2号楼2楼),02164987767,,其他江浙菜,1,4
147,148,68142898,七宝,南京大排档,101,本帮江浙菜,,-1,4,7.6,7.6,7.6,None,-1,,本帮江浙菜,1,0
148,149,66598101,闵行区,三林本帮小馆,198,本帮菜,￥55/人,55,16,7.5,7.4,7.6,东川路2266弄68号(三人行骨头王2楼),02154713600,,本帮菜,1,0
149,150,66449505,闵行区,韵居海派菜,204,其他江浙菜,￥62/人,62,67,7.5,7.9,7.8,都市路3759号龙盛国际商业广场三楼(近金都路),02164887727,,其他江浙菜,1,1
150,151,39260944,颛桥,小浦东白斩鸡,220,本帮菜,￥25/人,25,107,7.6,7.3,7.1,颛兴路364号,02164894819,,白斩鸡,1,2
151,152,3660448,莘庄,梦香村,198,本帮菜,￥104/人,104,273,7.5,7.6,7.4,七莘路765弄8号楼(疏影路口),02164885757,,本帮菜,1,3
152,153,2028931,老闵行,秋林阁,204,其他江浙菜,￥42/人,42,286,7.3,7.3,7,None,-1,,其他江浙菜,1,3
153,154,9945869,老闵行,阿婆家传菜,204,其他江浙菜,￥48/人,48,115,7.4,7.4,7.7,永平路138号(近老闵行交通大学),02134290877,,其他江浙菜,1,2
154,155,24780665,龙柏地区,瞿老爷子的弄堂菜,198,本帮菜,￥25/人,25,10,7.6,7.4,7.6,青杉路(乐虹坊),13052030856,,本帮菜,1,0
155,156,57587188,老闵行,香乡村大龙虾,219,其他江浙菜,￥140/人,140,39,7.8,7.3,7.3,路3825弄7号103(近金都路),02164581198,,小龙虾,1,0
156,157,57565480,闵行区,食为天土菜馆,204,其他江浙菜,￥40/人,40,1,7.6,7.6,7.6,兰坪路158号,18705658168,,其他江浙菜,1,0
157,158,507105,老闵行,海京阁,204,其他江浙菜,￥52/人,52,358,7.2,6.2,6.8,东川路897号(近交通大学),02154700177,,其他江浙菜,1,4
158,159,58201528,南方商城,陇南会所,198,本帮菜,,-1,,7.5,7.5,7.7,None,-1,,本帮菜,1,
159,160,58568396,闵行区,得丘园商务会所,204,其他江浙菜,,-1,8,7.4,7.5,7.4,申富路788号,02154426629,,其他江浙菜,1,0
160,161,68153886,虹桥镇,妈妈的味道,204,其他江浙菜,,-1,2,7.6,7.6,7.6,航华四村一街坊,15800935680,,其他江浙菜,1,0
161,162,27505115,七宝,安徽土菜馆,204,其他江浙菜,￥42/人,42,2,7.6,7.6,7.6,联明路339弄联盛花苑26号,18717721620,,其他江浙菜,1,0
162,163,66690878,闵行区,竺记,198,本帮菜,,-1,1,7.6,7.6,7.6,嘉定华江路,None,,本帮菜,1,0
163,164,67687143,闵行区,家苑,198,本帮菜,￥80/人,80,1,7.6,7.6,7.6,海申路98号(三鲁公路苏近路路口进入知新村),15901704142,,本帮菜,1,0
164,165,2088745,南方商城,蜀一蜀二,4467,本帮菜,￥73/人,73,306,7.1,6.7,6.9,虹梅路241号(近平阳路),02154936977,,川菜/家常菜,1,4
165,166,2862028,春申地区,蜀怡浓酒家,4467,本帮菜,￥62/人,62,280,7.7,7.6,7.7,莘朱路763号(近畹町路),02154384307,,川菜/家常菜,1,3
166,167,66196602,虹桥镇,文韵餐厅,199,杭帮菜,￥72/人,72,864,7.5,7.7,7.2,宜山路2016号一楼(近合川路),None,,杭帮菜,1,4
167,168,21243652,吴泾,农家媳妇巧厨房,25474,农家菜,￥64/人,64,270,7.5,7.4,7.2,吴泾镇永德路339号,02164500009,,农家菜,1,3
168,169,33589702,莘庄,刘十九,204,其他江浙菜,￥74/人,74,86,7.6,7.7,7.5,西环路301号-8,02164931779,,其他江浙菜,1,1
